id	utterance_id	utterance_type	utterance_text	terminate	regDate	updDate
BE22000101	1	0	엄마, 남편 차 새로 바꿔야 할까?	N	2022-06-03 16:16:57	2022-11-08 12:24:53
BE22000101	2	1	갑자기 멀쩡한 차는 왜 바꿔?	N	2022-06-03 16:16:57	2022-11-08 12:24:53
BE22000101	3	0	어제 아이가 집에 와서는 아빠 차 낡아서 부끄럽다고 툴툴대더라고.	N	2022-06-03 16:16:57	2022-11-08 12:24:53
BE22000101	4	1	생전 그런 투정 안 부리는 애가 무슨 일이래?	N	2022-06-03 16:16:57	2022-11-08 12:24:53
BE22000101	5	0	모르겠어. 갑자기 그러니까 나도 황당해서 멀쩡한 차를 왜 바꾸냐고 했더니 펑펑 울잖아.	N	2022-06-03 16:16:57	2022-11-08 12:24:53
BE22000101	6	1	우리 손주가 이유 없이 그러는 애는 아닌데, 네가 많이 놀랐겠구나.	N	2022-06-03 16:16:57	2022-11-08 12:24:53
BE22000101	7	0	응. 그러더니 문을 꽝 닫고 자기 방으로 들어가 버렸어. 이런 적이 없었는데. 당황스러워.	N	2022-06-03 16:16:57	2022-11-08 12:24:53
BE22000101	8	1	아이가 갑자기 그러면 네가 많이 당황스러울 만하지. 우리 손주가 사춘기가 오려나 보네. 그 이후로 얘기는 나눠 봤어?	N	2022-06-03 16:16:57	2022-11-08 12:24:53
BE22000101	9	0	아침에 얘기 좀 하려고 했더니 벌써 학교 가고 없었어. 말 잘 듣는 순둥이가 갑자기 이러니까 정말 당혹스럽네. 불안하기도 하고.	N	2022-06-03 16:16:57	2022-11-08 12:24:53
BE22000101	10	1	그래 네 마음 뭔지 한때 너의 엄마였던 나도 아주 잘 알지. 아이가 왜 그러는지 짐작 가는 일도 없어?	N	2022-06-03 16:16:57	2022-11-08 12:24:53
BE22000101	11	0	어저께 아이 학원 끝나고 남편 차로 데리러 갔는데 그때 친구들이 보고 놀린 거 아닌가 싶기는 해.	N	2022-06-03 16:16:57	2022-11-08 12:24:53
BE22000101	12	1	짐작은 가더라도 아이에게 직접 들은 게 아니니까 넘겨짚기도 어렵고 네가 많이 불안하고 답답하겠구나.	N	2022-06-03 16:16:57	2022-11-08 12:24:53
BE22000101	13	0	응, 그렇다고 정말 차를 바꿀 수도 없고 난감하네.	N	2022-06-03 16:16:57	2022-11-08 12:24:53
BE22000101	14	1	일단 오늘 집에 오면 아이 좋아하는 음식 해 놓고 살살 달래면서 왜 그러는지 물어보는 게 어때?	N	2022-06-03 16:16:57	2022-11-08 12:24:53
BE22000101	15	0	오호! 우리 아들 좋아하는 갈비찜 해 놔야겠다. 엄마, 조언해줘서 고마워.	Y	2022-06-03 16:16:57	2022-11-08 12:24:53